DATE,HOUSTNSA
01-01-1959,96.2
01-02-1959,99
01-03-1959,127.7
01-04-1959,150.8
01-05-1959,152.5
01-06-1959,147.8
01-07-1959,148.1
01-08-1959,138.2
01-09-1959,136.4
01-10-1959,120
01-11-1959,104.7
01-12-1959,95.6
01-01-1960,86
01-02-1960,90.7
01-03-1960,90.5
01-04-1960,123
01-05-1960,130.2
01-06-1960,122.8
01-07-1960,114.3
01-08-1960,130.3
01-09-1960,96.9
01-10-1960,110.4
01-11-1960,92.8
01-12-1960,64.2
01-01-1961,70.4
01-02-1961,74.1
01-03-1961,104.2
01-04-1961,112.8
01-05-1961,127.6
01-06-1961,134.8
01-07-1961,126.6
01-08-1961,127.1
01-09-1961,125.4
01-10-1961,124.8
01-11-1961,103
01-12-1961,82.2
01-01-1962,81.2
01-02-1962,77.1
01-03-1962,116.2
01-04-1962,147.8
01-05-1962,155.2
01-06-1962,136.8
01-07-1962,136.5
01-08-1962,147.7
01-09-1962,114.3
01-10-1962,135.2
01-11-1962,120.9
01-12-1962,93.9
01-01-1963,79
01-02-1963,89.6
01-03-1963,124.8
01-04-1963,164.2
01-05-1963,172.7
01-06-1963,154.2
01-07-1963,151.3
01-08-1963,144
01-09-1963,143.7
01-10-1963,165.3
01-11-1963,119.3
01-12-1963,95
01-01-1964,97.9
01-02-1964,101.3
01-03-1964,129.1
01-04-1964,147.1
01-05-1964,152.8
01-06-1964,157.2
01-07-1964,140.6
01-08-1964,138.3
01-09-1964,119.8
01-10-1964,141.2
01-11-1964,110.6
01-12-1964,93
01-01-1965,81.7
01-02-1965,80.9
01-03-1965,119.9
01-04-1965,148.6
01-05-1965,153.3
01-06-1965,151.8
01-07-1965,139.1
01-08-1965,128.3
01-09-1965,124.6
01-10-1965,133.1
01-11-1965,110.5
01-12-1965,101.1
01-01-1966,79.4
01-02-1966,76.2
01-03-1966,118.1
01-04-1966,140.9
01-05-1966,130
01-06-1966,120.6
01-07-1966,99.2
01-08-1966,101.8
01-09-1966,89.1
01-10-1966,76.6
01-11-1966,72.8
01-12-1966,60.2
01-01-1967,59.1
01-02-1967,61.4
01-03-1967,91.5
01-04-1967,113.7
01-05-1967,132
01-06-1967,125.4
01-07-1967,125.3
01-08-1967,127.4
01-09-1967,121.9
01-10-1967,135.4
01-11-1967,118.4
01-12-1967,80.1
01-01-1968,80.5
01-02-1968,84.6
01-03-1968,126.6
01-04-1968,162
01-05-1968,140.9
01-06-1968,137.9
01-07-1968,139.8
01-08-1968,136.6
01-09-1968,134.2
01-10-1968,140.8
01-11-1968,127.1
01-12-1968,96.4
01-01-1969,101.5
01-02-1969,90.1
01-03-1969,131.9
01-04-1969,159
01-05-1969,155.5
01-06-1969,147.3
01-07-1969,125.2
01-08-1969,124.9
01-09-1969,129.3
01-10-1969,123.4
01-11-1969,94.6
01-12-1969,84.1
01-01-1970,66.4
01-02-1970,74.3
01-03-1970,114.7
01-04-1970,128.4
01-05-1970,125
01-06-1970,135.2
01-07-1970,140.8
01-08-1970,128.7
01-09-1970,130.9
01-10-1970,140.9
01-11-1970,126.9
01-12-1970,121.4
01-01-1971,110.6
01-02-1971,102.2
01-03-1971,167.9
01-04-1971,201.1
01-05-1971,198.5
01-06-1971,193.8
01-07-1971,194.3
01-08-1971,204.5
01-09-1971,173.8
01-10-1971,179.7
01-11-1971,173.7
01-12-1971,152.1
01-01-1972,149.1
01-02-1972,152.2
01-03-1972,203.9
01-04-1972,211.6
01-05-1972,225.8
01-06-1972,223.1
01-07-1972,206.5
01-08-1972,228.6
01-09-1972,203
01-10-1972,216.5
01-11-1972,185.7
01-12-1972,150.5
01-01-1973,146.6
01-02-1973,138
01-03-1973,200
01-04-1973,205
01-05-1973,234
01-06-1973,202.6
01-07-1973,202.6
01-08-1973,197.2
01-09-1973,148.4
01-10-1973,147.1
01-11-1973,133.3
01-12-1973,90.4
01-01-1974,84.5
01-02-1974,109.4
01-03-1974,124.8
01-04-1974,159.5
01-05-1974,149
01-06-1974,147.6
01-07-1974,126.6
01-08-1974,111.1
01-09-1974,98.3
01-10-1974,96.7
01-11-1974,75.1
01-12-1974,55.1
01-01-1975,56.1
01-02-1975,54.7
01-03-1975,80.2
01-04-1975,97.9
01-05-1975,116.1
01-06-1975,110.3
01-07-1975,119.3
01-08-1975,117.3
01-09-1975,111.9
01-10-1975,123.6
01-11-1975,96.9
01-12-1975,76.1
01-01-1976,72.5
01-02-1976,89.9
01-03-1976,118.4
01-04-1976,137.2
01-05-1976,147.9
01-06-1976,154.2
01-07-1976,136.6
01-08-1976,145.9
01-09-1976,151.8
01-10-1976,148.4
01-11-1976,127.1
01-12-1976,107.4
01-01-1977,81.3
01-02-1977,112.5
01-03-1977,173.6
01-04-1977,182.2
01-05-1977,201.3
01-06-1977,197.6
01-07-1977,189.8
01-08-1977,194
01-09-1977,177.7
01-10-1977,193.1
01-11-1977,154.8
01-12-1977,129.2
01-01-1978,88.6
01-02-1978,101.3
01-03-1978,172.1
01-04-1978,197.5
01-05-1978,211
01-06-1978,216
01-07-1978,192.2
01-08-1978,190.9
01-09-1978,180.5
01-10-1978,192.1
01-11-1978,158.6
01-12-1978,119.5
01-01-1979,88.2
01-02-1979,84.5
01-03-1979,152.9
01-04-1979,161
01-05-1979,189.1
01-06-1979,191.8
01-07-1979,164.2
01-08-1979,170.3
01-09-1979,163.7
01-10-1979,169
01-11-1979,118.7
01-12-1979,91.6
01-01-1980,73.1
01-02-1980,79.9
01-03-1980,85.1
01-04-1980,96.2
01-05-1980,91.7
01-06-1980,116.4
01-07-1980,120.1
01-08-1980,129.9
01-09-1980,138.3
01-10-1980,152.7
01-11-1980,112.9
01-12-1980,95.9
01-01-1981,84.5
01-02-1981,71.9
01-03-1981,107.8
01-04-1981,123
01-05-1981,109.9
01-06-1981,105.8
01-07-1981,99.9
01-08-1981,86.3
01-09-1981,84.1
01-10-1981,87.2
01-11-1981,64.6
01-12-1981,59.1
01-01-1982,47.2
01-02-1982,51.3
01-03-1982,78.2
01-04-1982,84.1
01-05-1982,98.8
01-06-1982,91.1
01-07-1982,106.8
01-08-1982,96
01-09-1982,106.4
01-10-1982,110.5
01-11-1982,108.9
01-12-1982,82.9
01-01-1983,91.3
01-02-1983,96.3
01-03-1983,134.6
01-04-1983,135.8
01-05-1983,174.9
01-06-1983,173.2
01-07-1983,161.6
01-08-1983,176.8
01-09-1983,154.9
01-10-1983,159.3
01-11-1983,136
01-12-1983,108.3
01-01-1984,109.1
01-02-1984,130
01-03-1984,137.5
01-04-1984,172.7
01-05-1984,180.7
01-06-1984,184
01-07-1984,162.1
